activity,timeStamp,x,y,x
Upstairs,1.576565472159e+12,-0.016671753,0.9022125,-0.016671753
Upstairs,1.576565472176e+12,-0.02745819,0.9384964,-0.02745819
Upstairs,1.576565472182e+12,-0.02745819,0.9384964,-0.02745819
Upstairs,1.576565472208e+12,0.23339844,0.8531784,0.23339844
Upstairs,1.576565472256e+12,0.1500412,1.080693,0.1500412
Upstairs,1.57656547234e+12,0.10787354,0.9551681,0.10787354
Upstairs,1.57656547236e+12,0.13435058,0.9355545,0.13435058
Upstairs,1.576565472434e+12,-0.03334198,0.9139801,-0.03334198
Upstairs,1.576565472598e+12,0.024516296,0.9188827,0.024516296
Upstairs,1.576565472794e+12,0.02942047,1.0551956,0.02942047
Upstairs,1.576565472816e+12,0.008825684,1.0904999,0.008825684
Upstairs,1.576565472913e+12,-0.4069763,1.3052658,-0.4069763
Upstairs,1.576565472931e+12,-0.20888214,1.2425019,-0.20888214
Upstairs,1.576565472974e+12,0.07453003,1.2277924,0.07453003
Upstairs,1.576565472988e+12,0.026478577,1.1944504,0.026478577
Upstairs,1.576565473039e+12,-0.14023438,0.9630127,-0.14023438
Upstairs,1.576565473153e+12,0.010787964,1.0610794,0.010787964
Upstairs,1.576565473205e+12,-0.17946167,0.96399385,-0.17946167
Upstairs,1.576565473212e+12,-0.17946167,0.96399385,-0.17946167
Upstairs,1.576565473226e+12,-0.12552491,0.93653566,-0.12552491
Upstairs,1.576565473304e+12,-0.087278746,0.88455963,-0.087278746
Upstairs,1.576565473365e+12,-0.06472321,0.8384689,-0.06472321
Upstairs,1.57656547355e+12,0.117680356,0.8776947,0.117680356
Upstairs,1.5765654737e+12,0.31087035,1.0718673,0.31087035
Upstairs,1.576565473785e+12,0.14513855,1.0846161,0.14513855
Upstairs,1.576565473804e+12,0.07551117,1.0483307,0.07551117
Upstairs,1.576565473845e+12,-0.023536682,0.96399385,-0.023536682
Upstairs,1.576565473917e+12,-0.065704346,1.0198914,-0.065704346
Upstairs,1.576565473923e+12,-0.065704346,1.0198914,-0.065704346
Upstairs,1.576565473938e+12,0.005883789,1.0130265,0.005883789
Upstairs,1.576565473944e+12,0.005883789,1.0130265,0.005883789
Upstairs,1.576565474002e+12,-0.005883789,0.9590912,-0.005883789
Upstairs,1.57656547416e+12,0.114738464,0.97085875,0.114738464
Upstairs,1.576565474298e+12,-0.047071837,0.95811003,-0.047071837
Upstairs,1.576565474393e+12,-0.047071837,1.1532624,-0.047071837
Upstairs,1.576565474399e+12,-0.047071837,1.1532624,-0.047071837
Upstairs,1.576565474595e+12,0.05393677,1.0659835,0.05393677
Upstairs,1.576565474615e+12,0.16278991,1.0846161,0.16278991
Upstairs,1.576565474689e+12,-0.043148804,1.1454163,-0.043148804
Upstairs,1.576565474754e+12,0.10787354,1.0591186,0.10787354
Upstairs,1.576565475051e+12,-0.048052978,0.82375795,-0.048052978
Upstairs,1.576565475084e+12,0.3510788,1.1463974,0.3510788
Upstairs,1.576565475205e+12,0.12650605,1.0100845,0.12650605
Upstairs,1.576565475308e+12,-0.010787964,0.8561203,-0.010787964
Upstairs,1.576565475321e+12,-0.028439332,0.8374878,-0.028439332
Upstairs,1.57656547542e+12,0.13238983,0.8776947,0.13238983
Upstairs,1.576565475598e+12,-0.08335724,1.0954025,-0.08335724
Upstairs,1.576565475677e+12,-0.050994873,1.4209839,-0.050994873
Upstairs,1.576565475698e+12,0.016671753,1.4366745,0.016671753
Upstairs,1.576565475876e+12,0.032362364,1.1042283,0.032362364
Upstairs,1.576565475969e+12,0.16278991,0.9512451,0.16278991
Upstairs,1.57656547614e+12,0.08335724,0.70215607,0.08335724
Upstairs,1.576565476218e+12,0.043148804,0.67862093,0.043148804
Upstairs,1.576565476338e+12,-0.06668548,0.8963272,-0.06668548
Upstairs,1.576565476409e+12,0.11669922,0.9973358,0.11669922
Upstairs,1.576565476415e+12,0.11669922,0.9973358,0.11669922
Upstairs,1.576565476627e+12,0.05491791,0.8610245,0.05491791
Upstairs,1.576565476633e+12,0.05491791,0.8610245,0.05491791
Upstairs,1.576565476594e+12,0.048052978,0.8472946,0.048052978
Upstairs,1.576565476692e+12,-0.013729858,0.9620331,-0.013729858
Upstairs,1.576565476731e+12,-0.07355042,1.0051819,-0.07355042
Upstairs,1.576565476891e+12,-0.06472321,1.4190216,-0.06472321
Upstairs,1.576565476931e+12,0.101989746,1.2219086,0.101989746
Upstairs,1.576565477031e+12,0.07060852,0.9963562,0.07060852
Upstairs,1.576565477094e+12,0.032362364,1.0610794,0.032362364
Upstairs,1.576565477217e+12,0.0460907,0.82768095,0.0460907
Upstairs,1.576565477265e+12,0.081394956,0.7511902,0.081394956
Upstairs,1.576565477301e+12,0.105911255,0.73157656,0.105911255
Upstairs,1.576565477324e+12,0.121601865,0.7345184,0.121601865
Upstairs,1.576565477359e+12,0.06864624,0.7413834,0.06864624
Upstairs,1.576565477459e+12,0.2902771,1.0012589,0.2902771
Upstairs,1.576565477523e+12,0.30498657,1.2425019,0.30498657
Upstairs,1.576565477636e+12,0.090220645,0.97380066,0.090220645
Upstairs,1.576565477664e+12,0.058839418,0.9630127,0.058839418
Upstairs,1.576565477735e+12,-0.025497437,0.8463135,-0.025497437
Upstairs,1.576565477814e+12,0.08629914,0.8384689,0.08629914
Upstairs,1.576565477918e+12,-0.07747193,1.0316589,-0.07747193
Upstairs,1.576565477938e+12,-0.11669922,1.0316589,-0.11669922
Upstairs,1.57656547813e+12,0.08629914,1.2562317,0.08629914
Upstairs,1.576565478155e+12,0.037265014,1.1395324,0.037265014
Upstairs,1.576565478175e+12,-0.023536682,1.0708863,-0.023536682
Upstairs,1.576565478196e+12,-0.047071837,1.0434281,-0.047071837
Upstairs,1.576565478294e+12,0.050013732,1.0493119,0.050013732
Upstairs,1.576565478427e+12,0.10296936,0.92770845,0.10296936
Upstairs,1.57656547867e+12,0.32852325,0.8443527,0.32852325
Upstairs,1.576565478736e+12,0.06766663,1.0767701,0.06766663
Upstairs,1.57656547877e+12,-0.043148804,1.028717,-0.043148804
Upstairs,1.576565478862e+12,0.016671753,1.0159683,0.016671753
Upstairs,1.576565478867e+12,0.016671753,1.0159683,0.016671753
Upstairs,1.576565478882e+12,-0.0029418946,0.9698776,-0.0029418946
Upstairs,1.576565478966e+12,0.010787964,0.8933853,0.010787964
Upstairs,1.57656547901e+12,0.09708557,0.88455963,0.09708557
Upstairs,1.576565479067e+12,0.056878664,0.90711516,0.056878664
