activity,timeStamp,x,y,z,,,
Walking,1.58E+12,-0.18240356,0.97183836,-0.4128601,16,,
Walking,1.58E+12,-0.207901,0.80022275,-0.22849426,23,,
Walking,1.58E+12,-0.20299836,0.9796845,-0.17946167,19,,
Walking,1.58E+12,-0.10493164,0.9326126,-0.065704346,41,,
Walking,1.58E+12,-0.003923035,0.81983644,0.002941895,19,,
Walking,1.58E+12,0.02745819,0.69921416,0.009806824,40,,
Walking,1.58E+12,-0.003923035,0.71686554,-0.048052978,19,,
Walking,1.58E+12,-0.11669922,0.8384689,0.043148804,41,,
Walking,1.58E+12,-0.12552491,0.86004335,0.03432312,18,,
Walking,1.58E+12,-0.060801696,0.8776947,0.055897523,40,,
Walking,1.58E+12,-0.048052978,0.90025026,0.0460907,19,,
Walking,1.58E+12,-0.10787354,0.9433991,0.006864929,41,,
Walking,1.58E+12,-0.1470993,1.0267563,-0.006864929,20,,
Walking,1.58E+12,-0.13337097,1.1944504,0.030400086,39,,
Walking,1.58E+12,-0.23143768,1.2493668,0.051974487,20,,
Walking,1.58E+12,-0.5540756,1.3317429,0.11865997,39,,
Walking,1.58E+12,-0.5256363,1.332724,0.037265014,20,,
Walking,1.58E+12,-0.35990447,1.2111206,-0.084336855,19,,
Walking,1.58E+12,-0.27360535,1.0797119,-0.101989746,21,,
Walking,1.58E+12,-0.23045655,1.1738555,-0.084336855,22,,
Walking,1.58E+12,0.14317779,1.4376557,-0.21868896,38,,
Walking,1.58E+12,0.27360535,1.4366745,-0.26968232,18,,
Walking,1.58E+12,0.3147934,1.3729309,-0.22261047,20,,
Walking,1.58E+12,0.26772156,1.2454453,-0.15494537,30,,
Walking,1.58E+12,0.006864929,0.9453613,-0.055897523,30,,
Walking,1.58E+12,-0.050013732,0.8100296,-0.012748718,20,,
Walking,1.58E+12,-0.11081543,0.69921416,-0.020593261,39,,
Walking,1.58E+12,-0.11964111,0.62860566,-0.059820555,20,,
Walking,1.58E+12,-0.09708557,0.53838503,-0.06766663,19,,
Walking,1.58E+12,-0.052955627,0.49131316,-0.050013732,23,,
Walking,1.58E+12,-0.004902649,0.53054047,0.15984802,38,,
Walking,1.58E+12,-0.019613648,0.6384125,0.32460022,19,,
Walking,1.58E+12,-0.058839418,0.757074,0.4069763,39,,
Walking,1.58E+12,-0.101989746,0.8816177,0.4609131,8,,
Walking,1.58E+12,0.16671295,1.3444916,0.47268066,32,,
Walking,1.58E+12,0.1863266,1.4621719,0.39618835,20,,
