activity,timeStamp,x,y,z
Standing,1.576663036609e+12,-0.16965485,-0.71588594,-0.6060516
Standing,1.576663037121e+12,-0.16769409,-0.7119629,-0.60899353
Standing,1.576663037169e+12,-0.16377106,-0.7100021,-0.6138962
Standing,1.576663037396e+12,-0.16769409,-0.7119629,-0.61193544
Standing,1.57666303748e+12,-0.16769409,-0.71686554,-0.6295868
Standing,1.576663038326e+12,-0.17455903,-0.7217697,-0.5933029
Standing,1.576663038335e+12,-0.17553863,-0.71588594,-0.590361
Standing,1.57666303842e+12,-0.17750092,-0.71686554,-0.5933029
Standing,1.576663038794e+12,-0.17651978,-0.71686554,-0.6001663
Standing,1.576663039105e+12,-0.18044281,-0.7149048,-0.59820557
Standing,1.576663039306e+12,-0.18142243,-0.7149048,-0.5962448
Standing,1.576663034245e+12,-0.19907531,-0.72373044,-0.58741915
Standing,1.576663034341e+12,-0.20005493,-0.7276535,-0.586438
Standing,1.576663034354e+12,-0.19907531,-0.7207886,-0.58251494
Standing,1.576663034438e+12,-0.20005493,-0.72275084,-0.5844757
Standing,1.576663034785e+12,-0.19613342,-0.7207886,-0.58839875
Standing,1.57666303488e+12,-0.19613342,-0.7217697,-0.58839875
Standing,1.57666303494e+12,-0.19613342,-0.7207886,-0.5933029
Standing,1.576663035057e+12,-0.20103607,-0.7207886,-0.58741915
Standing,1.576663035409e+12,-0.18534546,-0.71392363,-0.6021286
Standing,1.576663035654e+12,-0.16278991,-0.7041168,-0.6305679
Standing,1.576663035925e+12,-0.16867371,-0.7119629,-0.61585695
Standing,1.57666303593e+12,-0.16573182,-0.7100021,-0.6207611
Standing,1.576663036171e+12,-0.17063598,-0.71588594,-0.6031097
Standing,1.576663036332e+12,-0.16965485,-0.7149048,-0.6011475
Standing,1.576663036439e+12,-0.17357787,-0.71588594,-0.59526366
Standing,1.576663036497e+12,-0.17063598,-0.7149048,-0.6040894
Standing,1.576663036999e+12,-0.17063598,-0.7109817,-0.60997313
Standing,1.576663037133e+12,-0.16769409,-0.71392363,-0.60997313
Standing,1.576663037221e+12,-0.16965485,-0.71294403,-0.60997313
Standing,1.576663037628e+12,-0.16769409,-0.71588594,-0.58741915
Standing,1.576663037746e+12,-0.17750092,-0.71980745,-0.571727
Standing,1.57666303781e+12,-0.17259674,-0.7149048,-0.6001663
Standing,1.576663037861e+12,-0.17750092,-0.7178467,-0.61977994
Standing,1.576663038436e+12,-0.17946167,-0.72275084,-0.6001663
Standing,1.576663038773e+12,-0.17651978,-0.7207886,-0.59820557
Standing,1.576663039239e+12,-0.17553863,-0.7207886,-0.5972244
Standing,1.576663039257e+12,-0.18044281,-0.71980745,-0.5962448
