activity,timeStamp,x,y,z,,,
Standing,1.58E+12,0.011767578,0.031381227,-0.9816452,33,,
Standing,1.58E+12,0.011767578,0.031381227,-0.9816452,7,,
Standing,1.58E+12,0.008825684,0.030400086,-0.9816452,14,,
Standing,1.58E+12,0.008825684,0.030400086,-0.9816452,11,,
Standing,1.58E+12,0.010787964,0.032362364,-0.9787033,29,,
Standing,1.58E+12,0.010787964,0.032362364,-0.9787033,19,,
Standing,1.58E+12,0.00784607,0.03432312,-0.9816452,11,,
Standing,1.58E+12,0.00784607,0.03432312,-0.9816452,5,,
Standing,1.58E+12,0.005883789,0.032362364,-0.98066556,23,,
Standing,1.58E+12,0.005883789,0.032362364,-0.98066556,5,,
Standing,1.58E+12,0.00784607,0.03432312,-0.9787033,8,,
Standing,1.58E+12,0.00784607,0.03432312,-0.9787033,8,,
Standing,1.58E+12,0.008825684,0.03432312,-0.9787033,19,,
Standing,1.58E+12,0.008825684,0.03432312,-0.9787033,4,,
Standing,1.58E+12,0.008825684,0.03334198,-0.9796845,17,,
Standing,1.58E+12,0.008825684,0.03334198,-0.9796845,5,,
Standing,1.58E+12,0.011767578,0.03334198,-0.9826263,36,,
Standing,1.58E+12,0.011767578,0.03334198,-0.9826263,8,,
Standing,1.58E+12,0.010787964,0.03432312,-0.9816452,10,,
Standing,1.58E+12,0.010787964,0.03432312,-0.9816452,10,,
Standing,1.58E+12,0.008825684,0.030400086,-0.9826263,27,,
Standing,1.58E+12,0.008825684,0.030400086,-0.9826263,6,,
Standing,1.58E+12,0.010787964,0.032362364,-0.9845871,15,,
Standing,1.58E+12,0.010787964,0.032362364,-0.9845871,10,,
Standing,1.58E+12,0.008825684,0.030400086,-0.9826263,32,,
Standing,1.58E+12,0.008825684,0.030400086,-0.9826263,6,,
Standing,1.58E+12,0.012748718,0.032362364,-0.9796845,11,,
Standing,1.58E+12,0.012748718,0.032362364,-0.9796845,10,,
Standing,1.58E+12,0.012748718,0.02942047,-0.98066556,10,,
Standing,1.58E+12,0.012748718,0.02942047,-0.98066556,8,,
Standing,1.58E+12,0.008825684,0.02745819,-0.9855682,31,,
Standing,1.58E+12,0.008825684,0.02745819,-0.9855682,5,,
Standing,1.58E+12,0.009806824,0.025497437,-0.9845871,16,,
Standing,1.58E+12,0.009806824,0.025497437,-0.9845871,4,,
Standing,1.58E+12,0.010787964,0.030400086,-0.9777237,39,,
Standing,1.58E+12,0.010787964,0.030400086,-0.9777237,10,,
Standing,1.58E+12,0.010787964,0.031381227,-0.9796845,15,,
Standing,1.58E+12,0.010787964,0.031381227,-0.9796845,5,,
Standing,1.58E+12,0.011767578,0.02745819,-0.98066556,26,,
Standing,1.58E+12,0.011767578,0.02745819,-0.98066556,7,,
Standing,1.58E+12,0.010787964,0.028439332,-0.9787033,13,,
Standing,1.58E+12,0.010787964,0.028439332,-0.9787033,7,,
Standing,1.58E+12,0.009806824,0.032362364,-0.9787033,7,,
Standing,1.58E+12,0.009806824,0.032362364,-0.9787033,8,,
Standing,1.58E+12,0.010787964,0.03530426,-0.9777237,18,,
Standing,1.58E+12,0.010787964,0.03530426,-0.9777237,6,,
Standing,1.58E+12,0.009806824,0.03334198,-0.9816452,12,,
Standing,1.58E+12,0.009806824,0.03334198,-0.9816452,5,,
Standing,1.58E+12,0.00784607,0.031381227,-0.9816452,36,,
Standing,1.58E+12,0.00784607,0.031381227,-0.9816452,6,,
Standing,1.58E+12,0.009806824,0.028439332,-0.98066556,14,,
Standing,1.58E+12,0.009806824,0.028439332,-0.98066556,8,,
Standing,1.58E+12,0.009806824,0.031381227,-0.9816452,30,,
Standing,1.58E+12,0.009806824,0.031381227,-0.9816452,10,,
Standing,1.58E+12,0.010787964,0.03334198,-0.9826263,10,,
Standing,1.58E+12,0.010787964,0.03334198,-0.9826263,10,,
Standing,1.58E+12,0.010787964,0.030400086,-0.9787033,11,,
Standing,1.58E+12,0.010787964,0.030400086,-0.9787033,4,,
Standing,1.58E+12,0.013729858,0.03334198,-0.9787033,6,,
Standing,1.58E+12,0.013729858,0.03334198,-0.9787033,8,,
Standing,1.58E+12,0.010787964,0.032362364,-0.98066556,23,,
Standing,1.58E+12,0.010787964,0.032362364,-0.98066556,4,,
Standing,1.58E+12,0.008825684,0.032362364,-0.9816452,14,,
Standing,1.58E+12,0.008825684,0.032362364,-0.9816452,7,,
Standing,1.58E+12,0.009806824,0.032362364,-0.9836075,13,,
Standing,1.58E+12,0.009806824,0.032362364,-0.9836075,4,,
Standing,1.58E+12,0.009806824,0.02942047,-0.98066556,35,,
Standing,1.58E+12,0.009806824,0.02942047,-0.98066556,5,,
Standing,1.58E+12,0.010787964,0.02942047,-0.9816452,14,,
Standing,1.58E+12,0.010787964,0.02942047,-0.9816452,9,,
Standing,1.58E+12,0.012748718,0.031381227,-0.9816452,15,,
Standing,1.58E+12,0.012748718,0.031381227,-0.9816452,7,,
Standing,1.58E+12,0.009806824,0.031381227,-0.9796845,33,,
Standing,1.58E+12,0.009806824,0.031381227,-0.9796845,9,,
Standing,1.58E+12,0.011767578,0.031381227,-0.9816452,9,,
Standing,1.58E+12,0.011767578,0.031381227,-0.9816452,7,,
Standing,1.58E+12,0.008825684,0.03432312,-0.9816452,11,,
Standing,1.58E+12,0.008825684,0.03432312,-0.9816452,8,,
Standing,1.58E+12,0.006864929,0.031381227,-0.98066556,11,,
Standing,1.58E+12,0.006864929,0.031381227,-0.98066556,4,,
Standing,1.58E+12,0.009806824,0.02942047,-0.9777237,18,,
Standing,1.58E+12,0.009806824,0.02942047,-0.9777237,5,,
Standing,1.58E+12,0.011767578,0.02942047,-0.97674257,34,,
Standing,1.58E+12,0.011767578,0.02942047,-0.97674257,5,,
Standing,1.58E+12,0.011767578,0.028439332,-0.9747818,6,,
Standing,1.58E+12,0.011767578,0.028439332,-0.9747818,4,,
Standing,1.58E+12,0.008825684,0.028439332,-0.9777237,24,,
Standing,1.58E+12,0.008825684,0.028439332,-0.9777237,7,,
Standing,1.58E+12,0.010787964,0.02942047,-0.97674257,8,,
Standing,1.58E+12,0.010787964,0.02942047,-0.97674257,8,,
Standing,1.58E+12,0.011767578,0.031381227,-0.9816452,17,,
Standing,1.58E+12,0.011767578,0.031381227,-0.9816452,4,,
