activity,timeStamp,x,y,z
Standing,1.576590136019e+12,-0.020593261,-0.8933853,-0.32361907
Standing,1.576590136072e+12,-0.018632507,-0.8933853,-0.32558137
Standing,1.576590136113e+12,-0.018632507,-0.8933853,-0.32950288
Standing,1.576590139578e+12,-0.020593261,-0.8982895,-0.31871644
Standing,1.576590139637e+12,-0.020593261,-0.8953476,-0.31675416
Standing,1.576590139841e+12,-0.020593261,-0.9012314,-0.3089096
Standing,1.576590139848e+12,-0.024516296,-0.89730835,-0.3118515
Standing,1.576590139928e+12,-0.022555541,-0.89730835,-0.3118515
Standing,1.576590140457e+12,-0.021574402,-0.90025026,-0.31969756
Standing,1.576590140677e+12,-0.019613648,-0.8953476,-0.31381226
Standing,1.57659014086e+12,-0.020593261,-0.89730835,-0.30989075
Standing,1.576590141108e+12,-0.020593261,-0.90025026,-0.3089096
Standing,1.576590141246e+12,-0.019613648,-0.8982895,-0.31969756
Standing,1.576590141867e+12,-0.019613648,-0.9012314,-0.31087035
Standing,1.576590141912e+12,-0.019613648,-0.90025026,-0.31381226
Standing,1.576590141971e+12,-0.021574402,-0.90025026,-0.3089096
Standing,1.576590142154e+12,-0.021574402,-0.89730835,-0.31283265
Standing,1.576590142582e+12,-0.020593261,-0.8963272,-0.3089096
Standing,1.576590142656e+12,-0.019613648,-0.90025026,-0.31577453
Standing,1.576590142756e+12,-0.018632507,-0.8982895,-0.32558137
Standing,1.576590142966e+12,-0.022555541,-0.8982895,-0.30694884
Standing,1.576590143039e+12,-0.017651368,-0.9022125,-0.31969756
Standing,1.576590143258e+12,-0.020593261,-0.90025026,-0.31087035
Standing,1.576590143677e+12,-0.022555541,-0.89927065,-0.3118515
Standing,1.57659014388e+12,-0.022555541,-0.8982895,-0.3089096
Standing,1.576590143951e+12,-0.020593261,-0.90417325,-0.30792847
Standing,1.576590144041e+12,-0.019613648,-0.90319216,-0.3089096
Standing,1.576590144224e+12,-0.022555541,-0.90025026,-0.3118515
Standing,1.576590144355e+12,-0.022555541,-0.8982895,-0.3089096
Standing,1.576590144606e+12,-0.023536682,-0.9012314,-0.30596772
Standing,1.576590144692e+12,-0.018632507,-0.90417325,-0.3118515
Standing,1.576590144749e+12,-0.021574402,-0.90319216,-0.30989075
Standing,1.576590145078e+12,-0.018632507,-0.9012314,-0.31381226
Standing,1.576590145184e+12,-0.017651368,-0.90025026,-0.30400544
Standing,1.576590145707e+12,-0.019613648,-0.89927065,-0.3089096
Standing,1.576590124143e+12,-0.023536682,-0.8659271,-0.39030457
Standing,1.576590124171e+12,-0.023536682,-0.868869,-0.38736266
Standing,1.576590124264e+12,-0.023536682,-0.86985016,-0.38442078
Standing,1.57659012436e+12,-0.021574402,-0.868869,-0.38736266
Standing,1.576590124391e+12,-0.024516296,-0.86788785,-0.3883438
Standing,1.576590124462e+12,-0.025497437,-0.86985016,-0.39128572
Standing,1.576590124911e+12,-0.017651368,-0.86985016,-0.38147888
Standing,1.576590124967e+12,-0.024516296,-0.87279207,-0.38246003
Standing,1.576590124972e+12,-0.023536682,-0.87279207,-0.38343963
Standing,1.576590125088e+12,-0.022555541,-0.8708313,-0.3883438
Standing,1.576590125376e+12,-0.022555541,-0.87671506,-0.37951812
Standing,1.576590125894e+12,-0.022555541,-0.8708313,-0.378537
Standing,1.576590125951e+12,-0.031381227,-0.8737732,-0.37363282
Standing,1.576590129223e+12,-0.031381227,-0.88750154,-0.35500032
Standing,1.576590129228e+12,-0.02942047,-0.8855408,-0.34715575
Standing,1.576590129563e+12,-0.030400086,-0.88750154,-0.35009766
Standing,1.576590129735e+12,-0.02942047,-0.88652194,-0.3520584
