activity,timeStamp,x,y,z,,,
Downstairs,1.58E+12,-0.46385497,0.64920044,0.10885315,10,3357,
Downstairs,1.58E+12,-0.35892335,0.52759856,0.15494537,28,3385,
Downstairs,1.58E+12,-0.415802,0.6050705,0.14415741,20,3405,
Downstairs,1.58E+12,-0.5472107,0.7100021,0.34127197,20,3425,
Downstairs,1.58E+12,-0.49523622,0.81787413,0.30596772,40,3465,
Downstairs,1.58E+12,-0.42658997,0.7884552,0.28243104,14,3479,
Downstairs,1.58E+12,-1.2729034,0.3030258,-0.88652194,25,3504,
Downstairs,1.58E+12,-0.57957304,0.96399385,-0.48641053,22,3526,
Downstairs,1.58E+12,0.35892335,0.868869,-0.3520584,39,3565,
Downstairs,1.58E+12,-0.105911255,0.7717835,-0.25497285,18,3583,
Downstairs,1.58E+12,-0.48641053,0.9688965,0.09218292,40,3623,
Downstairs,1.58E+12,-0.9894913,0.8512176,0.1647522,19,3642,
Downstairs,1.58E+12,-0.92378694,0.86396635,0.07355042,40,3682,
Downstairs,1.58E+12,-0.798262,0.85023654,0.03432312,25,3707,
Downstairs,1.58E+12,-0.6442963,0.57467043,0.05491791,35,3742,
Downstairs,1.58E+12,-0.4922943,0.51484984,0.07060852,19,3761,
Downstairs,1.58E+12,-0.4462021,0.41972503,0.16181031,41,3802,
Downstairs,1.58E+12,-0.37363282,0.3893234,0.13140869,18,3820,
Downstairs,1.58E+12,-0.5815338,0.42855072,0.12944794,21,3841,
Downstairs,1.58E+12,-0.75609285,0.48739013,0.18240356,19,3860,
Downstairs,1.58E+12,-0.7776672,0.5413269,0.1892685,21,3881,
Downstairs,1.58E+12,-0.6815628,0.46385497,0.2265335,40,3921,
Downstairs,1.58E+12,-0.6452774,0.54524994,0.094143674,20,3941,
Downstairs,1.58E+12,-0.89927065,0.38442078,-0.11277618,39,3980,
Downstairs,1.58E+12,-0.7649185,0.71392363,-0.06472321,19,3999,
Downstairs,1.58E+12,-0.549173,0.8080673,-0.08335724,39,4038,
Downstairs,1.58E+12,-0.330484,1.1846435,-0.06374359,9,4047,
Downstairs,1.58E+12,-0.36873016,1.5523926,0.026478577,14,4061,
Downstairs,1.58E+12,-0.5972244,1.7985398,0.08335724,38,4099,
Downstairs,1.58E+12,-0.5972244,1.7191055,0.17455903,13,4112,
Downstairs,1.58E+12,-0.21378478,0.89927065,0.19024964,26,4138,
Downstairs,1.58E+12,-0.38147888,0.8953476,0.21868896,19,4157,
Downstairs,1.58E+12,-0.41678315,0.9159409,0.27948913,40,4197,
Downstairs,1.58E+12,-0.34519348,0.8786758,0.22457275,9,4206,
Downstairs,1.58E+12,-0.3510788,0.7247116,0.22163086,32,4238,
Downstairs,1.58E+12,-0.30989075,0.65998685,0.23437957,8,4246,
Downstairs,1.58E+12,-0.31577453,0.57270813,0.25203094,30,4276,
Downstairs,1.58E+12,-0.2716446,0.49425507,0.22163086,6,4282,
Downstairs,1.58E+12,-0.15200348,0.5413269,0.21182403,34,4316,
Downstairs,1.58E+12,-0.1892685,0.6001663,0.2471283,20,4336,
Downstairs,1.58E+12,-0.16769409,0.6707748,0.31675416,21,4357,
Downstairs,1.58E+12,-0.10296936,0.45404816,0.07355042,38,4395,
Downstairs,1.58E+12,-0.16181031,0.6639099,0.24614716,20,4415,
Downstairs,1.58E+12,-0.17455903,0.7472671,0.3334259,23,4438,
Downstairs,1.58E+12,-0.47562256,1.3513565,0.23437957,36,4474,
Downstairs,1.58E+12,-0.4128601,1.6063293,-0.2843933,19,4493,
Downstairs,1.58E+12,-0.34519348,1.673996,-0.35303956,21,4514,
Downstairs,1.58E+12,-0.2716446,1.629866,0.2853729,20,4534,
Downstairs,1.58E+12,-0.28243104,1.5023788,0.09512482,39,4573,
Downstairs,1.58E+12,-0.453067,1.4258865,0.04118805,23,4596,
Downstairs,1.58E+12,-0.2667404,1.0787323,0.026478577,36,4632,
Downstairs,1.58E+12,-0.14219666,0.85023654,0.10983429,20,4652,
Downstairs,1.58E+12,-0.032362364,0.71882784,0.17259674,21,4673,
Downstairs,1.58E+12,-0.09316254,0.6943115,0.26477966,38,4711,
Downstairs,1.58E+12,-0.14415741,0.6501816,0.26379853,19,4730,
Downstairs,1.58E+12,-0.20495911,0.6335098,0.2853729,22,4752,
Downstairs,1.58E+12,-0.19221039,0.68254244,0.22163086,40,4792,
Downstairs,1.58E+12,-0.17455903,0.6776398,0.22064972,21,4813,
Downstairs,1.58E+12,-0.22163086,0.69136965,0.20888214,37,4850,
Downstairs,1.58E+12,-0.25203094,0.7747253,0.11669922,5,4855,
Downstairs,1.58E+12,-0.047071837,1.3425308,0.024516296,35,4890,
Downstairs,1.58E+12,0.06766663,1.5769088,0.05393677,18,4908,
Downstairs,1.58E+12,0.13337097,1.5818131,0.14317779,39,4947,
Downstairs,1.58E+12,0.100027464,1.4602096,0.21378478,11,4958,
Downstairs,1.58E+12,0.09512482,1.4229447,0.2657608,11,4969,
Downstairs,1.58E+12,-0.020593261,1.3631241,0.2539917,40,5009,
Downstairs,1.58E+12,-0.15690613,1.2562317,0.16965485,9,5018,
Downstairs,1.58E+12,-0.03530426,0.86396635,0.18828735,32,5050,
Downstairs,1.58E+12,-0.009806824,0.798262,0.21672669,23,5073,
Downstairs,1.58E+12,-0.13337097,0.667833,0.32656097,34,5107,
Downstairs,1.58E+12,-0.1863266,0.59232175,0.31577453,20,5127,
Downstairs,1.58E+12,-0.20299836,0.57270813,0.30498657,20,5147,
